Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
How is the spinning mule fuelled,2,20.0%,-9.0
What are two properties or characteristics of cotton fibers,1,10.0%,1.0
Information needed to locate a nonfiction book,0,0.0%,0.0
What is a non-chordates,1,10.0%,1.0
Which team won the 2006 Stanley Cup,3,30.0%,0.5
What bands are there in folk music,0,0.0%,0.0
What invented by persian,2,20.0%,-24.0
Where was the place of origin for Taoism,4,40.0%,-4.4
How many seats does usc stadium hold,0,0.0%,0.0
What is one of selena gomez top hit,0,0.0%,0.0
Sidney crosby live in pittburgh,1,10.0%,0.0
What is a normal 8year olds blood presure,1,10.0%,0.0
The capital city of the pennsylvannia colony was,1,10.0%,0.0
How many cups is 1 pounds of almond,0,0.0%,0.0
What parts make up the chloroplast,1,10.0%,1.0
What do crocodiles do to survive,2,20.0%,-9.0
What is the name of the dog in Garfield ',2,20.0%,-15.0
Are paris hilton and icole richie friends,0,0.0%,0.0
What is yur ideal job,0,0.0%,0.0
What are some cheats for pets on barbiegirlscom,0,0.0%,0.0
What are five obstacles to prayer,2,20.0%,-1.0
How many chriss are in the world,0,0.0%,0.0
What year did john cabot return to England from canada,3,30.0%,0.25
What is the brown and white myepet 's code,0,0.0%,0.0
How much moneydoes a coach of soccer earn,1,10.0%,0.0
What is prospecting and what does prospector do,0,0.0%,0.0
How do you calculate load pressure,0,0.0%,0.0
2001 walking liberty silver dollar,2,20.0%,-7.0
What is the number one adaptation for a sea anemone,1,10.0%,0.0
How much is the average yearly wage for an EMT intermediate in Georgia,0,0.0%,0.0
What kind of galleys is the milky way,2,20.0%,-1.0
The name of ernest hemingway parents,2,20.0%,-24.0
What is the hackcode to stick rpg complete,0,0.0%,0.0
What is the scientific name of the tail bone,0,0.0%,0.0
What kind of places do '' tourists visit when they travel to Poland,0,0.0%,0.0
How did Carolus Linaaeus classify organisms,3,30.0%,0.25
Infection of the skin on the lower leg unknown origin found icd-9cm,0,0.0%,0.0
What is the standard size for a billiards table in cm,1,10.0%,1.0
Do glaciers vreate mountains,2,20.0%,0.0
Who discovered x-rays and radiation therapy,2,20.0%,-28.0
Some sentences of possessive adjectives in french,2,20.0%,-4.0
Milage Frankfurt am Mainz to Vienna,3,30.0%,-1.5
What do christians believe about healthy living,2,20.0%,-9.0
How did telegraph change,1,10.0%,0.0
What do playboy girls do,1,10.0%,1.0
What is photoynthesis,4,40.0%,-5.0
In which do you want to improve,1,10.0%,0.0
How do you replace a motor starter on a 1985 thunderbird,1,10.0%,0.0
Where does sperm can be found,3,30.0%,-1.0
How do you access a routers settings,1,10.0%,1.0
The fundamental unit for measuring distance,1,10.0%,0.0
How many lines are there in a limerick,0,0.0%,0.0
How many black 6 in a deck,0,0.0%,0.0
How many bean seeds are in a pound,1,10.0%,0.0
What religon 's does russia have,3,30.0%,-5.25
How many species of panda 's,1,10.0%,0.0
What is a model 1878 colt shotgun worth,0,0.0%,0.0
What temperature should a snake,0,0.0%,0.0
When was the first Radar used in weather observation,3,30.0%,-3.5
What are the important religious celebrations of the Islam,0,0.0%,0.0
The ar code for the pokemon modifier,0,0.0%,0.0
Massachusetts age to be left alone,1,10.0%,0.0
What is spring like in the alps,1,10.0%,0.0
What is the popolarion of your London,1,10.0%,0.0
What is the order of british nobility,2,20.0%,-24.0
What do you call a testable prediction about a possible solution to a problem,1,10.0%,0.0
You hear chreeing noises on your Nissian Altima,0,0.0%,0.0
What is neo-confuciansim,2,20.0%,-4.0
How can you solve this issue in transporting,0,0.0%,0.0
Why does co curicullar activities bother studies,0,0.0%,0.0
What temperture do you cook a chicken at,0,0.0%,0.0
What does the proper left turn signal look like,0,0.0%,0.0
What are the main two motions of earth,0,0.0%,0.0
At what level does leafeon learn it final move,3,30.0%,-0.25
What is 1921 wheat penny worth,4,40.0%,-0.5
What causes a person to be fat or thin,1,10.0%,0.0
Replacing wiper blades on a 98 chevy s 10,3,30.0%,-5.0
How many stitchs does a baseball have,1,10.0%,0.0
What is postive externality,3,30.0%,-4.5
How many calories in 1 teaspoon of white sugar,1,10.0%,1.0
Is cloth heavier than paper,0,0.0%,0.0
Peter pan dog name,0,0.0%,0.0
What is the process the army uses for risk management,0,0.0%,0.0
What is the runaway growth of the bodys own cells,0,0.0%,0.0
How would you test sugar,2,20.0%,-19.0
How do you heal pink eye,5,50.0%,-2.95
What is the meaning of the word mariam,2,20.0%,-3.0
How much does it cost for 1 gram of iron,1,10.0%,1.0
What is the theme in Cirque du Freak,2,20.0%,-35.0
Who are daniel radcliffe is parents,3,30.0%,-3.25
How do capitalize the letter f in cursive,0,0.0%,0.0
What is the value of a 1935 series f one dollar silver certificate,2,20.0%,-60.0
What si the offical language of somalia,4,40.0%,0.20000000000000000
Measurements of the field,0,0.0%,0.0
What is the name of the leader of columbia,2,20.0%,0.0
When was potassium discovered in,2,20.0%,-8.0
What size is 34 inch waist,1,10.0%,0.0
The island future Singapore is,1,10.0%,0.0
What did schindler see,2,20.0%,-24.0
How do you get rid of permanet marker,3,30.0%,-2.25
Average,1.26,12.6%,-3.3815
